/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 10
 * K (Modelli) = 3
 *************************************************/

N = 10;
K = 3;

P = [39, 75, 48];
R = [29, 11, 30];
A = [4, 3, 4];
C = [4.18, 9.58, 6.09];

M = [
  [0, 49, 37, 57, 51, 7, 47, 47, 38, 26],
  [49, 0, 34, 5, 59, 47, 20, 85, 3, 89],
  [37, 34, 0, 100, 37, 77, 73, 4, 71, 52],
  [57, 5, 100, 0, 3, 13, 25, 40, 9, 75],
  [51, 59, 37, 3, 0, 36, 41, 20, 51, 31],
  [7, 47, 77, 13, 36, 0, 2, 43, 21, 6],
  [47, 20, 73, 25, 41, 2, 0, 1, 12, 18],
  [47, 85, 4, 40, 20, 43, 1, 0, 17, 39],
  [38, 3, 71, 9, 51, 21, 12, 17, 0, 86],
  [26, 89, 52, 75, 31, 6, 18, 39, 86, 0],
];
