/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 10
 * K (Modelli) = 2
 *************************************************/

N = 10;
K = 2;

P = [92, 75];
R = [3, 19];
A = [2, 3];
C = [6.63, 2.14];

M = [
  [0, 25, 70, 2, 28, 2, 28, 19, 34, 14],
  [25, 0, 13, 80, 46, 24, 23, 47, 69, 62],
  [70, 13, 0, 26, 18, 37, 42, 71, 28, 20],
  [2, 80, 26, 0, 83, 11, 44, 29, 26, 2],
  [28, 46, 18, 83, 0, 49, 31, 22, 15, 20],
  [2, 24, 37, 11, 49, 0, 70, 55, 85, 15],
  [28, 23, 42, 44, 31, 70, 0, 49, 41, 4],
  [19, 47, 71, 29, 22, 55, 49, 0, 98, 87],
  [34, 69, 28, 26, 15, 85, 41, 98, 0, 44],
  [14, 62, 20, 2, 20, 15, 4, 87, 44, 0],
];
