/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 45
 * K (Modelli) = 20
 *************************************************/

N = 45;
K = 20;

P = [95, 17, 22, 99, 88, 86, 81, 60, 90, 77, 69, 52, 87, 46, 52, 65, 61, 95, 60, 56];
R = [36, 10, 42, 8, 2, 7, 13, 22, 11, 31, 4, 40, 3, 8, 19, 2, 2, 23, 15, 14];
A = [5, 2, 6, 2, 2, 5, 3, 2, 5, 2, 5, 5, 4, 5, 5, 2, 4, 3, 4, 2];
C = [5.31, 2.25, 3.39, 4.7, 5.13, 7.18, 7.28, 6.88, 6.14, 4.62, 6.12, 9.53, 9.36, 5.77, 7.89, 4.99, 6.33, 9.57, 5.77, 5.4];

M = [
  [0, 40, 15, 21, 77, 87, 97, 11, 41, 86, 63, 53, 39, 19, 24, 33, 65, 93, 33, 23, 27, 40, 31, 39, 39, 30, 56, 15, 28, 1, 37, 47, 82, 30, 73, 28, 31, 55, 47, 9, 30, 43, 16, 24, 25],
  [40, 0, 51, 78, 67, 24, 6, 13, 100, 13, 79, 99, 40, 63, 8, 59, 73, 6, 67, 40, 30, 26, 45, 17, 38, 57, 50, 4, 15, 22, 10, 63, 14, 16, 5, 85, 28, 22, 93, 49, 20, 36, 48, 16, 39],
  [15, 51, 0, 51, 63, 88, 10, 42, 44, 46, 55, 54, 81, 68, 43, 58, 30, 38, 94, 30, 47, 43, 13, 18, 64, 61, 27, 47, 43, 20, 14, 67, 38, 36, 26, 78, 4, 8, 33, 33, 47, 16, 9, 80, 45],
  [21, 78, 51, 0, 47, 78, 5, 40, 31, 41, 32, 46, 99, 45, 31, 31, 42, 30, 46, 77, 1, 50, 16, 83, 74, 41, 8, 27, 20, 32, 8, 3, 35, 59, 41, 82, 6, 16, 34, 47, 65, 66, 64, 43, 6],
  [77, 67, 63, 47, 0, 30, 76, 62, 21, 83, 6, 34, 15, 8, 27, 67, 20, 65, 16, 71, 16, 49, 97, 24, 9, 86, 30, 61, 13, 100, 67, 37, 52, 20, 44, 36, 76, 34, 86, 29, 73, 94, 18, 13, 26],
  [87, 24, 88, 78, 30, 0, 34, 41, 15, 12, 13, 52, 12, 65, 8, 8, 46, 82, 45, 2, 62, 4, 69, 67, 30, 44, 8, 44, 1, 11, 79, 49, 21, 31, 36, 48, 65, 15, 76, 11, 43, 17, 91, 75, 77],
  [97, 6, 10, 5, 76, 34, 0, 89, 46, 19, 23, 98, 47, 47, 7, 28, 26, 85, 15, 9, 25, 84, 93, 4, 16, 4, 99, 79, 49, 25, 44, 41, 23, 49, 33, 59, 26, 48, 81, 25, 25, 37, 53, 31, 32],
  [11, 13, 42, 40, 62, 41, 89, 0, 93, 16, 23, 58, 48, 6, 67, 43, 43, 75, 47, 42, 28, 54, 85, 34, 26, 34, 36, 58, 75, 36, 36, 37, 30, 5, 24, 17, 1, 34, 41, 6, 51, 43, 30, 46, 26],
  [41, 100, 44, 31, 21, 15, 46, 93, 0, 30, 43, 18, 42, 37, 76, 24, 17, 21, 99, 11, 35, 72, 82, 23, 99, 87, 16, 39, 18, 2, 15, 19, 31, 90, 84, 10, 8, 10, 35, 21, 75, 1, 36, 32, 9],
  [86, 13, 46, 41, 83, 12, 19, 16, 30, 0, 55, 27, 74, 100, 96, 61, 36, 95, 47, 62, 10, 15, 4, 67, 23, 33, 67, 62, 41, 49, 19, 88, 30, 32, 22, 31, 49, 1, 4, 73, 26, 40, 34, 41, 6],
  [63, 79, 55, 32, 6, 13, 23, 23, 43, 55, 0, 12, 34, 26, 67, 89, 91, 5, 44, 58, 9, 10, 31, 21, 81, 40, 38, 37, 37, 91, 75, 47, 15, 16, 22, 34, 36, 51, 14, 70, 17, 39, 6, 42, 67],
  [53, 99, 54, 46, 34, 52, 98, 58, 18, 27, 12, 0, 2, 34, 69, 61, 3, 69, 15, 37, 64, 32, 41, 44, 3, 14, 88, 35, 48, 9, 8, 19, 93, 38, 71, 18, 82, 4, 27, 23, 27, 38, 20, 77, 51],
  [39, 40, 81, 99, 15, 12, 47, 48, 42, 74, 34, 2, 0, 14, 17, 13, 24, 39, 25, 30, 32, 31, 33, 46, 67, 44, 62, 14, 75, 88, 18, 10, 38, 37, 4, 39, 34, 9, 34, 83, 67, 61, 87, 3, 32],
  [19, 63, 68, 45, 8, 65, 47, 6, 37, 100, 26, 34, 14, 0, 95, 1, 48, 47, 18, 5, 44, 43, 31, 2, 39, 17, 84, 45, 20, 14, 65, 42, 19, 99, 47, 42, 41, 23, 26, 4, 26, 43, 29, 82, 20],
  [24, 8, 43, 31, 27, 8, 7, 67, 76, 96, 67, 69, 17, 95, 0, 22, 10, 4, 28, 21, 87, 64, 38, 32, 13, 54, 42, 89, 22, 28, 27, 38, 5, 45, 96, 37, 92, 43, 65, 76, 25, 73, 19, 17, 49],
  [33, 59, 58, 31, 67, 8, 28, 43, 24, 61, 89, 61, 13, 1, 22, 0, 49, 42, 78, 46, 63, 42, 81, 14, 39, 13, 38, 19, 15, 93, 53, 28, 99, 74, 4, 48, 17, 68, 46, 25, 98, 39, 6, 72, 60],
  [65, 73, 30, 42, 20, 46, 26, 43, 17, 36, 91, 3, 24, 48, 10, 49, 0, 41, 34, 18, 39, 44, 72, 62, 97, 70, 8, 32, 42, 43, 68, 33, 31, 23, 2, 85, 22, 6, 81, 3, 35, 75, 18, 80, 11],
