/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 90
 * K (Modelli) = 50
 *************************************************/

N = 90;
K = 50;

P = [19, 44, 37, 42, 62, 54, 18, 34, 85, 20, 23, 14, 20, 98, 53, 37, 49, 84, 48, 94, 63, 16, 64, 16, 84, 13, 69, 74, 86, 35, 28, 83, 50, 80, 28, 68, 12, 26, 97, 77, 96, 77, 68, 34, 72, 76, 82, 45, 30, 72];
R = [1, 46, 37, 10, 36, 24, 34, 40, 41, 41, 18, 5, 49, 36, 29, 8, 14, 44, 4, 2, 10, 21, 31, 19, 47, 30, 43, 35, 25, 11, 31, 3, 8, 20, 39, 26, 20, 19, 38, 37, 9, 43, 34, 32, 13, 3, 28, 22, 20, 43];
A = [3, 2, 4, 4, 2, 2, 5, 5, 3, 4, 5, 3, 3, 4, 3, 6, 5, 6, 3, 5, 4, 2, 4, 4, 5, 4, 6, 4, 4, 6, 6, 4, 2, 5, 5, 5, 3, 5, 4, 3, 6, 4, 4, 6, 6, 3, 4, 2, 6, 5];
C = [5.03, 4.7, 5.69, 3.48, 8.39, 6.31, 9.27, 3.35, 8.13, 2.47, 7.35, 4.12, 9.27, 2.24, 1.61, 7.85, 1.25, 4.68, 8.03, 6.58, 1.53, 4.24, 4.79, 9.14, 3.91, 6.8, 4.79, 2.38, 7.76, 6.26, 6.66, 4.1, 2.38, 7.94, 9.94, 6.27, 7.7, 7.53, 3.32, 7.56, 7.53, 7.04, 1.25, 9.38, 6.81, 9.61, 1.68, 4.85, 4.01, 8.35];

M = [
  [0, 56, 89, 27, 37, 47, 1, 71, 5, 47, 82, 94, 22, 45, 98, 63, 46, 32, 4, 72, 18, 31, 37, 70, 89, 11, 36, 6, 9, 59, 4, 25, 6, 84, 90, 29, 28, 10, 29, 31, 27, 3, 31, 74, 26, 36, 19, 47, 10, 12, 43, 86, 94, 41, 41, 92, 24, 13, 85, 13, 19, 5, 16, 10, 44, 70, 23, 38, 30, 7, 22, 82, 16, 12, 18, 70, 81, 3, 51, 2, 31, 35, 6, 76, 48, 34, 52, 13, 39, 36],
  [56, 0, 16, 50, 19, 40, 87, 15, 7, 77, 45, 63, 34, 21, 97, 4, 4, 30, 38, 22, 2, 82, 8, 6, 100, 11, 27, 70, 11, 34, 40, 37, 10, 22, 2, 37, 14, 35, 10, 67, 1, 1, 86, 47, 37, 48, 27, 42, 29, 46, 44, 10, 35, 22, 10, 34, 15, 56, 23, 25, 77, 46, 4, 35, 31, 26, 85, 68, 13, 99, 91, 16, 29, 39, 52, 60, 65, 51, 22, 30, 74, 41, 44, 76, 42, 78, 30, 100, 95, 92],
  [89, 16, 0, 56, 30, 19, 20, 6, 17, 4, 8, 85, 47, 19, 36, 36, 8, 10, 41, 34, 37, 92, 31, 81, 14, 64, 62, 11, 37, 49, 29, 45, 82, 37, 31, 98, 44, 41, 78, 76, 28, 85, 15, 57, 15, 29, 2, 64, 7, 4, 49, 37, 14, 92, 5, 59, 34, 23, 23, 22, 45, 85, 49, 69, 70, 10, 23, 24, 28, 39, 62, 4, 62, 43, 69, 5, 100, 94, 44, 7, 14, 2, 43, 30, 93, 17, 86, 23, 78, 53],
  [27, 50, 56, 0, 44, 25, 85, 24, 4, 14, 11, 7, 22, 4, 32, 47, 18, 44, 46, 51, 36, 34, 36, 79, 6, 98, 11, 1, 99, 35, 99, 44, 20, 82, 6, 21, 29, 84, 45, 70, 20, 16, 1, 37, 6, 22, 70, 39, 7, 15, 15, 40, 33, 24, 44, 95, 37, 40, 19, 65, 64, 6, 19, 42, 20, 81, 12, 54, 7, 40, 32, 21, 43, 52, 6, 41, 37, 33, 12, 17, 24, 33, 3, 36, 1, 31, 51, 76, 25, 41],
  [37, 19, 30, 44, 0, 20, 11, 4, 77, 29, 10, 30, 71, 45, 4, 84, 54, 7, 19, 33, 5, 23, 8, 35, 61, 85, 12, 43, 3, 22, 17, 33, 32, 91, 44, 12, 28, 17, 30, 27, 7, 94, 18, 35, 13, 90, 33, 12, 45, 14, 50, 4, 92, 45, 35, 79, 23, 18, 40, 5, 3, 53, 62, 45, 23, 28, 36, 35, 1, 6, 20, 91, 12, 45, 52, 5, 86, 73, 84, 20, 37, 88, 38, 54, 11, 36, 12, 8, 21, 22],
  [47, 40, 19, 25, 20, 0, 33, 65, 54, 28, 8, 54, 80, 9, 93, 41, 95, 24, 73, 49, 33, 19, 23, 46, 29, 43, 20, 22, 17, 24, 35, 68, 10, 19, 75, 62, 87, 20, 46, 62, 45, 13, 41, 85, 51, 59, 35, 91, 27, 49, 20, 11, 91, 3, 35, 70, 6, 45, 4, 12, 98, 47, 70, 94, 47, 7, 97, 48, 37, 47, 4, 49, 54, 33, 3, 91, 94, 15, 19, 97, 30, 77, 41, 35, 45, 85, 27, 85, 12, 34],
  [1, 87, 20, 85, 11, 33, 0, 1, 36, 21, 25, 21, 47, 77, 67, 27, 92, 92, 78, 42, 23, 47, 80, 49, 45, 53, 73, 9, 12, 57, 2, 42, 66, 41, 18, 17, 29, 89, 67, 8, 79, 11, 11, 11, 52, 80, 29, 65, 41, 53, 88, 30, 42, 22, 38, 7, 52, 35, 4, 38, 10, 49, 92, 53, 53, 23, 14, 68, 48, 5, 52, 7, 39, 59, 20, 21, 38, 17, 22, 49, 49, 35, 96, 1, 96, 48, 15, 32, 51, 100],
  [71, 15, 6, 24, 4, 65, 1, 0, 55, 14, 8, 12, 25, 49, 61, 17, 21, 58, 48, 100, 45, 20, 34, 19, 59, 95, 45, 12, 36, 30, 52, 35, 34, 25, 23, 12, 36, 46, 46, 5, 20, 20, 42, 55, 46, 88, 12, 76, 24, 42, 51, 2, 66, 1, 96, 62, 43, 88, 16, 15, 52, 19, 97, 92, 41, 72, 89, 33, 36, 6, 33, 78, 90, 62, 42, 72, 39, 25, 68, 74, 59, 18, 33, 99, 34, 4, 27, 26, 47, 17],
  [5, 7, 17, 4, 77, 54, 36, 55, 0, 1, 18, 21, 30, 45, 62, 25, 31, 20, 39, 38, 60, 10, 34, 36, 13, 17, 1, 10, 70, 11, 11, 40, 77, 22, 14, 27, 86, 82, 69, 44, 39, 43, 25, 49, 21, 58, 38, 36, 93, 23, 36, 55, 19, 45, 57, 15, 1, 14, 19, 12, 70, 22, 58, 12, 49, 52, 7, 87, 71, 24, 58, 20, 46, 21, 93, 29, 26, 91, 67, 11, 15, 24, 39, 49, 26, 49, 70, 66, 7, 34],
  [47, 77, 4, 14, 29, 28, 21, 14, 1, 0, 20, 40, 32, 57, 45, 69, 31, 4, 45, 3, 7, 32, 52, 76, 89, 27, 13, 39, 74, 25, 92, 20, 70, 81, 21, 51, 9, 29, 48, 14, 67, 8, 31, 88, 2, 44, 35, 12, 13, 29, 27, 9, 56, 16, 40, 46, 1, 12, 31, 3, 40, 40, 81, 61, 54, 61, 27, 27, 2, 6, 83, 19, 57, 18, 32, 45, 42, 59, 63, 1, 17, 28, 26, 45, 31, 21, 70, 28, 61, 55],
