/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 40
 * K (Modelli) = 25
 *************************************************/

N = 40;
K = 25;

P = [93, 83, 31, 100, 58, 23, 11, 76, 72, 75, 88, 58, 20, 53, 62, 91, 57, 42, 21, 54, 79, 62, 76, 48, 24];
R = [15, 29, 42, 41, 48, 6, 9, 12, 40, 32, 20, 44, 34, 40, 6, 18, 25, 36, 30, 18, 26, 43, 28, 1, 4];
A = [5, 2, 2, 2, 3, 5, 3, 2, 3, 2, 4, 5, 4, 3, 3, 5, 5, 6, 2, 6, 5, 2, 2, 6, 4];
C = [6.42, 2.81, 7.24, 9.67, 3.32, 8.53, 9.39, 9.97, 3.75, 2.52, 3.96, 6.03, 8.64, 7.62, 3.62, 2.0, 9.45, 9.1, 3.71, 8.96, 4.94, 5.08, 3.75, 9.85, 3.14];

M = [
  [0, 75, 60, 29, 24, 97, 36, 40, 95, 13, 1, 25, 75, 5, 38, 38, 40, 44, 51, 6, 30, 28, 28, 18, 9, 26, 64, 18, 57, 99, 71, 36, 93, 17, 31, 60, 13, 95, 42, 17],
  [75, 0, 24, 71, 29, 33, 76, 42, 73, 18, 89, 28, 5, 23, 46, 38, 73, 46, 13, 23, 91, 32, 33, 95, 48, 20, 28, 92, 19, 2, 46, 93, 10, 19, 11, 41, 42, 11, 32, 87],
  [60, 24, 0, 27, 21, 29, 10, 80, 72, 27, 41, 32, 97, 33, 27, 87, 25, 65, 29, 2, 49, 84, 2, 10, 12, 35, 37, 36, 89, 85, 77, 41, 31, 67, 5, 82, 3, 30, 32, 22],
  [29, 71, 27, 0, 67, 26, 92, 4, 23, 80, 11, 48, 44, 22, 18, 29, 2, 13, 20, 35, 7, 87, 15, 76, 92, 6, 52, 45, 71, 17, 36, 18, 58, 22, 72, 38, 25, 61, 57, 44],
  [24, 29, 21, 67, 0, 12, 13, 52, 2, 36, 79, 92, 52, 87, 35, 30, 68, 22, 28, 18, 90, 22, 95, 17, 27, 46, 74, 39, 18, 86, 10, 84, 70, 23, 56, 81, 10, 8, 87, 20],
  [97, 33, 29, 26, 12, 0, 68, 71, 7, 34, 19, 23, 21, 44, 44, 20, 5, 10, 40, 19, 18, 44, 38, 90, 56, 7, 98, 16, 38, 45, 16, 82, 95, 14, 69, 80, 39, 15, 26, 13],
  [36, 76, 10, 92, 13, 68, 0, 49, 83, 77, 16, 17, 45, 84, 49, 27, 40, 36, 40, 85, 12, 15, 48, 7, 49, 62, 88, 7, 67, 32, 27, 46, 41, 29, 69, 36, 98, 13, 19, 49],
  [40, 42, 80, 4, 52, 71, 49, 0, 48, 72, 20, 1, 29, 34, 72, 88, 15, 20, 38, 26, 45, 30, 32, 29, 12, 28, 32, 38, 36, 16, 20, 27, 69, 78, 9, 3, 55, 26, 51, 13],
  [95, 73, 72, 23, 2, 7, 83, 48, 0, 15, 14, 19, 62, 14, 32, 98, 15, 17, 34, 18, 30, 28, 67, 19, 20, 58, 24, 43, 28, 11, 100, 46, 29, 25, 35, 7, 27, 20, 92, 42],
  [13, 18, 27, 80, 36, 34, 77, 72, 15, 0, 21, 40, 3, 34, 45, 90, 31, 89, 91, 39, 84, 20, 77, 31, 40, 20, 10, 43, 8, 42, 35, 26, 21, 100, 87, 20, 7, 11, 83, 97],
  [1, 89, 41, 11, 79, 19, 16, 20, 14, 21, 0, 20, 96, 86, 30, 67, 39, 44, 25, 22, 16, 93, 33, 43, 36, 1, 39, 24, 36, 41, 49, 14, 33, 46, 33, 27, 37, 87, 53, 24],
  [25, 28, 32, 48, 92, 23, 17, 1, 19, 40, 20, 0, 21, 67, 92, 48, 41, 42, 41, 5, 5, 10, 87, 58, 92, 73, 76, 43, 5, 30, 99, 8, 11, 48, 49, 25, 60, 9, 41, 42],
  [75, 5, 97, 44, 52, 21, 45, 29, 62, 3, 96, 21, 0, 11, 12, 27, 83, 31, 27, 17, 4, 80, 73, 30, 99, 91, 34, 38, 51, 14, 33, 35, 81, 38, 97, 19, 19, 4, 28, 17],
  [5, 23, 33, 22, 87, 44, 84, 34, 14, 34, 86, 67, 11, 0, 21, 80, 69, 39, 40, 15, 92, 30, 11, 15, 5, 14, 55, 17, 8, 13, 8, 25, 1, 11, 33, 37, 11, 26, 89, 41],
  [38, 46, 27, 18, 35, 44, 49, 72, 32, 45, 30, 92, 12, 21, 0, 95, 83, 45, 99, 27, 19, 24, 14, 7, 48, 93, 14, 32, 23, 22, 45, 28, 4, 13, 80, 59, 89, 11, 36, 7],
  [38, 38, 87, 29, 30, 20, 27, 88, 98, 90, 67, 48, 27, 80, 95, 0, 83, 20, 19, 15, 12, 48, 27, 92, 30, 24, 1, 96, 4, 16, 30, 63, 28, 6, 11, 16, 24, 32, 40, 61],
  [40, 73, 25, 2, 68, 5, 40, 15, 15, 31, 39, 41, 83, 69, 83, 83, 0, 37, 28, 11, 45, 43, 41, 81, 87, 39, 70, 64, 87, 17, 61, 14, 76, 36, 64, 28, 60, 22, 13, 46],
  [44, 46, 65, 13, 22, 10, 36, 20, 17, 89, 44, 42, 31, 39, 45, 20, 37, 0, 32, 81, 23, 76, 5, 8, 85, 31, 72, 1, 3, 45, 22, 42, 18, 27, 75, 47, 70, 76, 33, 81],
  [51, 13, 29, 20, 28, 40, 40, 38, 34, 91, 25, 41, 27, 40, 99, 19, 28, 32, 0, 23, 52, 61, 77, 14, 40, 65, 50, 27, 3, 26, 21, 40, 47, 4, 11, 34, 42, 34, 39, 49],
  [6, 23, 2, 35, 18, 19, 85, 26, 18, 39, 22, 5, 17, 15, 27, 15, 11, 81, 23, 0, 10, 34, 79, 13, 5, 76, 58, 42, 16, 72, 88, 54, 56, 38, 9, 78, 91, 7, 3, 62],
  [30, 91, 49, 7, 90, 18, 12, 45, 30, 84, 16, 5, 4, 92, 19, 12, 45, 23, 52, 10, 0, 10, 63, 11, 27, 21, 67, 24, 16, 42, 67, 17, 25, 12, 24, 8, 42, 30, 30, 90],
  [28, 32, 84, 87, 22, 44, 15, 30, 28, 20, 93, 10, 80, 30, 24, 48, 43, 76, 61, 34, 10, 0, 3, 77, 12, 32, 3, 47, 16, 38, 38, 17, 35, 73, 5, 90, 15, 76, 86, 39],
  [28, 33, 2, 15, 95, 38, 48, 32, 67, 77, 33, 87, 73, 11, 14, 27, 41, 5, 77, 79, 63, 3, 0, 45, 22, 3, 33, 40, 15, 8, 25, 26, 8, 6, 47, 99, 1, 49, 90, 33],
  [18, 95, 10, 76, 17, 90, 7, 29, 19, 31, 43, 58, 30, 15, 7, 92, 81, 8, 14, 13, 11, 77, 45, 0, 96, 97, 87, 23, 36, 13, 32, 24, 4, 15, 19, 26, 34, 4, 27, 40],
  [9, 48, 12, 92, 27, 56, 49, 12, 20, 40, 36, 92, 99, 5, 48, 30, 87, 85, 40, 5, 27, 12, 22, 96, 0, 50, 75, 77, 30, 67, 39, 77, 30, 42, 97, 25, 95, 84, 35, 19],
  [26, 20, 35, 6, 46, 7, 62, 28, 58, 20, 1, 73, 91, 14, 93, 24, 39, 31, 65, 76, 21, 32, 3, 97, 50, 0, 10, 77, 99, 70, 24, 46, 17, 23, 33, 28, 12, 3, 3, 49],
  [64, 28, 37, 52, 74, 98, 88, 32, 24, 10, 39, 76, 34, 55, 14, 1, 70, 72, 50, 58, 67, 3, 33, 87, 75, 10, 0, 20, 44, 41, 48, 68, 40, 17, 39, 6, 98, 40, 86, 23],
  [18, 92, 36, 45, 39, 16, 7, 38, 43, 43, 24, 43, 38, 17, 32, 96, 64, 1, 27, 42, 24, 47, 40, 23, 77, 77, 20, 0, 86, 5, 7, 79, 20, 3, 40, 56, 33, 97, 11, 20],
  [57, 19, 89, 71, 18, 38, 67, 36, 28, 8, 36, 5, 51, 8, 23, 4, 87, 3, 3, 16, 16, 16, 15, 36, 30, 99, 44, 86, 0, 24, 37, 10, 27, 43, 28, 69, 34, 4, 42, 2],
  [99, 2, 85, 17, 86, 45, 32, 16, 11, 42, 41, 30, 14, 13, 22, 16, 17, 45, 26, 72, 42, 38, 8, 13, 67, 70, 41, 5, 24, 0, 9, 39, 9, 6, 14, 92, 40, 27, 55, 8],
  [71, 46, 77, 36, 10, 16, 27, 20, 100, 35, 49, 99, 33, 8, 45, 30, 61, 22, 21, 88, 67, 38, 25, 32, 39, 24, 48, 7, 37, 9, 0, 39, 47, 32, 69, 60, 15, 8, 86, 33],
  [36, 93, 41, 18, 84, 82, 46, 27, 46, 26, 14, 8, 35, 25, 28, 63, 14, 42, 40, 54, 17, 17, 26, 24, 77, 46, 68, 79, 10, 39, 39, 0, 48, 36, 45, 80, 24, 22, 99, 34],
