/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 30
 * K (Modelli) = 10
 *************************************************/

K = 10;
N = 30;

P = [78, 100, 22, 45, 74, 35, 51, 52, 47, 26];
R = [38, 30, 34, 8, 35, 37, 47, 16, 22, 17];
A = [2, 2, 5, 3, 4, 2, 2, 4, 4, 6];
C = [2.81, 2.82, 2.68, 4.52, 3.69, 6.26, 9.66, 5.71, 7.82, 1.9];

M = [
  [0, 37, 36, 69, 32, 22, 2, 9, 23, 32, 51, 61, 46, 58, 48, 6, 36, 30, 59, 39, 98, 53, 41, 26, 42, 85, 42, 32, 47, 38],
  [37, 0, 28, 56, 35, 31, 28, 8, 20, 85, 71, 15, 13, 28, 63, 40, 47, 28, 30, 8, 47, 22, 75, 29, 47, 35, 38, 48, 57, 34],
  [36, 28, 0, 23, 61, 19, 67, 64, 30, 36, 48, 9, 15, 99, 48, 42, 31, 16, 72, 75, 79, 53, 35, 77, 51, 28, 34, 83, 6, 26],
  [69, 56, 23, 0, 26, 50, 39, 34, 20, 20, 3, 43, 92, 54, 70, 13, 59, 59, 39, 93, 50, 92, 96, 13, 90, 65, 45, 36, 72, 81],
  [32, 35, 61, 26, 0, 69, 37, 83, 12, 40, 9, 33, 22, 94, 6, 28, 17, 19, 93, 25, 27, 59, 74, 67, 36, 29, 47, 21, 41, 10],
  [22, 31, 19, 50, 69, 0, 25, 15, 85, 33, 30, 87, 96, 52, 9, 12, 47, 50, 46, 99, 65, 12, 15, 43, 74, 46, 58, 24, 29, 85],
  [2, 28, 67, 39, 37, 25, 0, 11, 22, 16, 10, 2, 52, 28, 8, 60, 55, 90, 40, 22, 62, 75, 96, 51, 3, 30, 27, 44, 74, 6],
  [9, 8, 64, 34, 83, 15, 11, 0, 45, 96, 90, 96, 18, 28, 19, 55, 67, 18, 5, 26, 42, 7, 63, 53, 11, 83, 53, 63, 59, 64],
  [23, 20, 30, 20, 12, 85, 22, 45, 0, 78, 62, 12, 23, 23, 40, 58, 50, 87, 47, 33, 13, 70, 37, 1, 85, 10, 97, 27, 96, 8],
  [32, 85, 36, 20, 40, 33, 16, 96, 78, 0, 91, 34, 26, 71, 70, 36, 22, 95, 79, 52, 93, 12, 4, 49, 71, 38, 43, 54, 35, 6],
  [51, 71, 48, 3, 9, 30, 10, 90, 62, 91, 0, 23, 90, 100, 72, 21, 15, 34, 44, 35, 35, 4, 2, 75, 30, 18, 62, 48, 34, 17],
  [61, 15, 9, 43, 33, 87, 2, 96, 12, 34, 23, 0, 6, 24, 29, 30, 2, 56, 5, 77, 4, 10, 13, 39, 34, 36, 1, 36, 4, 47],
  [46, 13, 15, 92, 22, 96, 52, 18, 23, 26, 90, 6, 0, 36, 23, 9, 46, 24, 36, 40, 42, 12, 89, 47, 23, 22, 85, 30, 21, 72],
  [58, 28, 99, 54, 94, 52, 28, 28, 23, 71, 100, 24, 36, 0, 23, 83, 36, 7, 18, 54, 42, 54, 96, 75, 24, 22, 46, 61, 32, 92],
