/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 60
 * K (Modelli) = 30
 *************************************************/

N = 60;
K = 30;

P = [55, 11, 91, 89, 50, 70, 100, 79, 78, 70, 38, 23, 62, 46, 42, 62, 53, 94, 30, 77, 39, 71, 47, 28, 52, 32, 36, 50, 13, 56];
R = [18, 47, 44, 3, 29, 23, 20, 30, 2, 14, 30, 26, 1, 37, 45, 20, 9, 18, 10, 19, 30, 46, 22, 45, 5, 14, 31, 5, 18, 35];
A = [5, 3, 6, 6, 2, 3, 6, 5, 6, 6, 3, 6, 2, 6, 2, 4, 2, 4, 5, 6, 5, 2, 3, 2, 3, 3, 3, 2, 3, 6];
C = [6.92, 6.98, 6.41, 6.17, 1.53, 4.92, 3.97, 3.5, 1.37, 9.06, 2.85, 1.13, 5.53, 5.98, 3.86, 3.74, 8.58, 6.01, 9.45, 3.36, 5.41, 8.48, 8.04, 6.69, 4.67, 2.19, 8.34, 7.12, 3.37, 1.56];

M = [
  [0, 18, 46, 32, 32, 38, 44, 8, 48, 8, 32, 60, 11, 86, 80, 20, 16, 96, 13, 58, 44, 80, 25, 27, 38, 9, 12, 72, 38, 79, 96, 98, 40, 25, 29, 35, 25, 8, 10, 87, 5, 54, 51, 24, 15, 2, 24, 4, 49, 43, 10, 15, 15, 8, 95, 25, 59, 18, 71, 39],
  [18, 0, 3, 75, 26, 34, 8, 33, 27, 11, 16, 1, 25, 46, 10, 15, 15, 15, 63, 75, 29, 62, 96, 52, 40, 15, 27, 5, 40, 25, 43, 25, 36, 24, 2, 54, 94, 55, 9, 26, 52, 55, 28, 27, 46, 11, 16, 79, 2, 5, 32, 41, 3, 3, 32, 22, 8, 100, 13, 19],
  [46, 3, 0, 67, 22, 92, 64, 45, 37, 72, 17, 88, 42, 4, 55, 86, 34, 10, 21, 42, 62, 19, 6, 17, 48, 1, 17, 53, 19, 65, 34, 89, 7, 73, 10, 3, 2, 24, 69, 10, 13, 80, 37, 39, 5, 24, 26, 65, 16, 20, 20, 7, 58, 85, 53, 85, 43, 22, 63, 7],
  [32, 75, 67, 0, 35, 31, 38, 26, 27, 41, 68, 50, 60, 37, 26, 42, 41, 96, 18, 13, 25, 18, 9, 10, 76, 21, 45, 27, 57, 23, 63, 5, 19, 59, 26, 44, 38, 68, 39, 29, 2, 96, 26, 18, 17, 3, 31, 34, 26, 47, 37, 19, 35, 46, 56, 43, 25, 79, 10, 37],
  [32, 26, 22, 35, 0, 43, 44, 39, 29, 9, 27, 43, 41, 1, 24, 63, 38, 32, 22, 48, 8, 5, 36, 29, 36, 7, 6, 13, 46, 42, 44, 55, 99, 2, 69, 22, 48, 22, 26, 54, 4, 89, 23, 75, 22, 36, 71, 49, 76, 57, 1, 67, 9, 41, 34, 37, 35, 17, 2, 17],
  [38, 34, 92, 31, 43, 0, 76, 27, 42, 25, 52, 13, 34, 35, 38, 94, 63, 58, 87, 88, 88, 63, 46, 56, 9, 36, 23, 28, 38, 15, 25, 6, 10, 83, 80, 33, 48, 16, 41, 22, 55, 46, 72, 69, 75, 74, 43, 20, 96, 80, 24, 5, 71, 38, 30, 13, 36, 14, 61, 36],
  [44, 8, 64, 38, 44, 76, 0, 7, 9, 32, 32, 37, 13, 45, 20, 46, 17, 28, 3, 4, 84, 97, 24, 25, 50, 97, 51, 79, 41, 95, 22, 14, 33, 8, 48, 9, 3, 37, 77, 48, 44, 45, 35, 89, 86, 14, 14, 23, 63, 34, 21, 34, 48, 22, 60, 94, 31, 37, 67, 51],
  [8, 33, 45, 26, 39, 27, 7, 0, 54, 18, 98, 23, 24, 66, 52, 92, 81, 26, 42, 53, 4, 21, 27, 43, 26, 3, 80, 17, 26, 84, 9, 61, 41, 67, 29, 34, 13, 17, 42, 13, 9, 15, 16, 95, 78, 47, 72, 31, 7, 45, 20, 7, 35, 30, 1, 47, 27, 67, 77, 3],
  [48, 27, 37, 27, 29, 42, 9, 54, 0, 37, 23, 1, 54, 5, 27, 71, 4, 6, 31, 6, 76, 78, 6, 44, 72, 13, 1, 81, 83, 43, 24, 4, 14, 9, 49, 49, 29, 45, 100, 42, 48, 4, 57, 9, 39, 36, 16, 44, 10, 42, 52, 28, 24, 6, 48, 4, 31, 13, 96, 29],
  [8, 11, 72, 41, 9, 25, 32, 18, 37, 0, 31, 46, 80, 69, 67, 16, 47, 45, 42, 22, 40, 11, 90, 88, 48, 95, 38, 42, 66, 81, 20, 3, 71, 20, 43, 14, 38, 79, 59, 61, 18, 7, 1, 90, 38, 47, 38, 75, 48, 24, 60, 36, 95, 49, 54, 45, 55, 43, 52, 42],
