/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 130
 * K (Modelli) = 5
 *************************************************/

N = 130;
K = 5;

P = [78, 53, 79, 32, 92];
R = [33, 5, 1, 25, 11];
A = [5, 2, 5, 6, 3];
C = [2.12, 4.88, 4.79, 9.2, 6.72];

M = [
  [0, 45, 75, 28, 39, 50, 24, 77, 63, 26, 17, 18, 14, 67, 51, 30, 15, 29, 37, 27, 18, 6, 8, 43, 46, 33, 84, 90, 24, 48, 96, 9, 55, 38, 96, 48, 5, 47, 13, 40, 73, 97, 83, 8, 16, 35, 53, 26, 12, 45, 30, 77, 7, 79, 19, 19, 13, 19, 85, 12, 50, 95, 9, 92, 26, 26, 97, 4, 28, 23, 81, 65, 41, 4, 86, 32, 18, 26, 29, 36, 38, 16, 18, 46, 37, 28, 10, 2, 92, 12, 49, 9, 86, 98, 49, 36, 54, 7, 14, 35, 76, 35, 9, 40, 72, 84, 69, 48, 41, 8, 18, 37, 48, 21, 15, 44, 50, 17, 70, 92, 92, 6, 71, 91, 51, 16, 5, 82, 24, 12],
  [45, 0, 39, 93, 28, 48, 85, 2, 25, 12, 44, 40, 37, 47, 77, 27, 44, 11, 50, 44, 47, 74, 12, 27, 56, 10, 49, 3, 55, 90, 98, 26, 16, 1, 46, 18, 26, 25, 53, 28, 42, 7, 77, 24, 26, 25, 50, 71, 88, 36, 80, 36, 36, 48, 31, 26, 11, 6, 43, 75, 21, 18, 84, 91, 46, 15, 32, 15, 92, 5, 56, 53, 11, 46, 85, 32, 20, 38, 19, 1, 91, 53, 16, 18, 3, 86, 80, 19, 40, 38, 75, 80, 32, 43, 53, 48, 69, 3, 5, 7, 55, 8, 74, 45, 33, 26, 23, 14, 16, 48, 49, 7, 36, 72, 98, 60, 36, 86, 27, 32, 7, 76, 19, 3, 94, 11, 5, 30, 1, 36],
  [75, 39, 0, 46, 95, 3, 100, 62, 85, 77, 79, 3, 61, 74, 65, 23, 20, 4, 82, 54, 29, 14, 49, 17, 40, 46, 4, 44, 18, 92, 18, 24, 3, 68, 31, 98, 37, 9, 86, 31, 15, 46, 47, 73, 90, 30, 41, 97, 60, 25, 78, 10, 15, 82, 26, 22, 2, 78, 75, 8, 42, 8, 45, 77, 3, 40, 29, 92, 12, 89, 15, 8, 77, 67, 51, 48, 22, 78, 32, 88, 62, 34, 45, 14, 41, 57, 32, 88, 37, 6, 34, 31, 49, 47, 29, 7, 38, 43, 68, 8, 70, 11, 40, 28, 39, 15, 51, 97, 20, 35, 27, 31, 21, 27, 56, 22, 8, 77, 79, 77, 7, 48, 47, 18, 59, 79, 37, 37, 91, 4],
  [28, 93, 46, 0, 29, 18, 78, 44, 46, 96, 81, 48, 7, 36, 15, 15, 13, 81, 11, 38, 43, 42, 47, 100, 17, 18, 9, 47, 25, 30, 43, 83, 27, 94, 34, 63, 14, 27, 49, 22, 46, 37, 14, 12, 92, 3, 48, 92, 7, 1, 26, 74, 18, 32, 8, 46, 72, 14, 7, 90, 45, 83, 20, 47, 40, 23, 21, 28, 76, 12, 39, 17, 10, 48, 49, 37, 43, 55, 37, 98, 85, 94, 17, 39, 23, 23, 62, 16, 34, 5, 40, 19, 39, 88, 37, 35, 19, 23, 9, 76, 25, 59, 45, 25, 35, 15, 64, 24, 69, 18, 5, 10, 47, 41, 2, 3, 65, 27, 65, 12, 100, 39, 66, 42, 29, 15, 56, 91, 68, 26],
  [39, 28, 95, 29, 0, 87, 12, 42, 36, 2, 94, 18, 2, 71, 10, 92, 36, 23, 72, 27, 70, 91, 25, 62, 27, 10, 15, 46, 15, 15, 31, 38, 10, 10, 10, 14, 5, 5, 61, 20, 92, 14, 92, 96, 92, 3, 49, 48, 8, 32, 81, 34, 67, 3, 26, 20, 13, 45, 10, 9, 49, 50, 9, 2, 64, 92, 22, 45, 4, 3, 7, 18, 41, 71, 37, 4, 18, 24, 93, 26, 40, 100, 61, 46, 74, 86, 42, 81, 13, 49, 52, 38, 36, 24, 61, 97, 48, 40, 6, 50, 43, 18, 76, 29, 2, 32, 18, 42, 45, 19, 60, 17, 33, 49, 7, 96, 80, 69, 15, 16, 64, 42, 50, 47, 16, 29, 80, 29, 81, 9],
  [50, 48, 3, 18, 87, 0, 10, 5, 57, 40, 85, 91, 56, 9, 23, 95, 39, 2, 12, 69, 45, 29, 4, 15, 79, 9, 72, 23, 53, 40, 47, 2, 41, 13, 91, 51, 54, 9, 60, 32, 46, 89, 28, 31, 11, 45, 27, 55, 4, 1, 27, 44, 91, 42, 24, 30, 7, 3, 6, 35, 40, 29, 31, 97, 27, 17, 81, 31, 87, 45, 24, 80, 28, 20, 34, 41, 41, 31, 8, 24, 33, 75, 77, 29, 64, 85, 82, 26, 30, 37, 47, 20, 39, 72, 11, 89, 23, 44, 17, 38, 48, 2, 43, 29, 66, 27, 16, 36, 28, 21, 23, 18, 46, 33, 39, 46, 85, 63, 28, 16, 2, 75, 11, 20, 38, 1, 88, 38, 49, 55],
  [24, 85, 100, 78, 12, 10, 0, 39, 1, 16, 48, 33, 21, 93, 52, 38, 59, 47, 15, 49, 39, 10, 20, 98, 32, 20, 37, 20, 8, 9, 9, 10, 49, 44, 68, 8, 83, 31, 48, 20, 37, 19, 1, 44, 44, 13, 13, 37, 18, 10, 37, 42, 88, 23, 20, 66, 83, 16, 5, 43, 55, 50, 71, 23, 48, 37, 10, 4, 32, 66, 32, 9, 82, 43, 39, 95, 32, 63, 73, 93, 15, 35, 21, 44, 37, 41, 14, 34, 42, 15, 21, 6, 52, 25, 8, 29, 77, 89, 5, 10, 48, 1, 48, 15, 26, 13, 65, 83, 18, 11, 39, 7, 27, 18, 22, 45, 96, 100, 16, 21, 79, 36, 88, 69, 18, 12, 47, 24, 42, 70],
  [77, 2, 62, 44, 42, 5, 39, 0, 65, 69, 78, 69, 37, 35, 46, 67, 3, 11, 39, 25, 66, 42, 9, 22, 20, 46, 40, 31, 92, 92, 86, 37, 23, 44, 74, 23, 25, 37, 20, 8, 42, 42, 24, 60, 41, 74, 45, 42, 79, 45, 98, 28, 97, 96, 78, 96, 26, 16, 24, 29, 21, 21, 54, 99, 83, 71, 12, 98, 24, 3, 7, 95, 59, 22, 30, 1, 65, 22, 49, 20, 43, 44, 87, 13, 12, 28, 36, 21, 42, 15, 29, 21, 42, 76, 29, 87, 40, 67, 35, 76, 53, 24, 19, 57, 33, 25, 29, 38, 25, 28, 36, 1, 67, 47, 75, 40, 42, 45, 11, 28, 20, 82, 30, 100, 82, 41, 30, 52, 38, 84],
  [63, 25, 85, 46, 36, 57, 1, 65, 0, 32, 87, 51, 26, 6, 9, 73, 73, 24, 29, 27, 71, 39, 22, 61, 21, 36, 72, 27, 15, 22, 63, 98, 58, 55, 16, 34, 69, 32, 24, 87, 1, 30, 19, 39, 34, 75, 76, 12, 30, 9, 10, 86, 31, 48, 16, 16, 69, 40, 36, 37, 49, 77, 69, 46, 85, 92, 3, 11, 59, 38, 82, 2, 92, 43, 33, 15, 3, 16, 22, 97, 75, 91, 81, 92, 40, 24, 64, 33, 22, 45, 30, 9, 83, 35, 9, 85, 22, 44, 30, 24, 2, 32, 11, 30, 46, 61, 27, 34, 54, 11, 9, 6, 63, 36, 84, 29, 77, 8, 18, 43, 2, 36, 29, 24, 79, 11, 43, 41, 17, 2],
  [26, 12, 77, 96, 2, 40, 16, 69, 32, 0, 1, 78, 99, 19, 16, 51, 86, 57, 93, 24, 59, 68, 14, 55, 56, 48, 41, 11, 24, 8, 89, 89, 24, 44, 35, 46, 50, 63, 7, 15, 23, 33, 15, 36, 49, 17, 21, 79, 9, 16, 11, 76, 17, 9, 4, 7, 95, 18, 78, 19, 16, 10, 6, 34, 7, 2, 8, 20, 13, 57, 86, 33, 14, 22, 88, 10, 31, 69, 85, 6, 10, 1, 46, 39, 81, 13, 36, 98, 87, 71, 39, 81, 43, 13, 19, 44, 43, 81, 2, 62, 37, 75, 3, 27, 71, 30, 11, 99, 5, 4, 15, 31, 46, 3, 28, 16, 30, 11, 16, 33, 41, 42, 21, 87, 59, 29, 45, 9, 32, 42],
