/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 15
 * K (Modelli) = 10
 *************************************************/

N = 15;
K = 10;

P = [45, 87, 42, 65, 38, 48, 23, 98, 67, 91];
R = [43, 48, 2, 20, 10, 1, 36, 34, 16, 19];
A = [2, 5, 4, 5, 6, 5, 6, 5, 4, 4];
C = [3.58, 5.89, 9.27, 3.89, 2.16, 9.96, 8.24, 9.89, 8.42, 9.73];

M = [
  [0, 1, 72, 56, 6, 8, 49, 84, 78, 2, 66, 63, 47, 100, 43],
  [1, 0, 36, 25, 19, 17, 21, 20, 38, 15, 12, 97, 2, 21, 68],
  [72, 36, 0, 46, 85, 61, 3, 7, 7, 5, 45, 79, 53, 47, 23],
  [56, 25, 46, 0, 92, 64, 37, 16, 22, 100, 26, 31, 72, 31, 21],
  [6, 19, 85, 92, 0, 41, 30, 87, 3, 37, 43, 3, 21, 43, 59],
  [8, 17, 61, 64, 41, 0, 42, 47, 44, 49, 56, 31, 10, 6, 58],
  [49, 21, 3, 37, 30, 42, 0, 16, 13, 33, 54, 13, 14, 71, 47],
  [84, 20, 7, 16, 87, 47, 16, 0, 5, 57, 42, 37, 44, 42, 46],
  [78, 38, 7, 22, 3, 44, 13, 5, 0, 36, 6, 58, 2, 45, 26],
  [2, 15, 5, 100, 37, 49, 33, 57, 36, 0, 45, 92, 22, 46, 21],
  [66, 12, 45, 26, 43, 56, 54, 42, 6, 45, 0, 11, 17, 21, 81],
  [63, 97, 79, 31, 3, 31, 13, 37, 58, 92, 11, 0, 37, 67, 60],
  [47, 2, 53, 72, 21, 10, 14, 44, 2, 22, 17, 37, 0, 22, 21],
  [100, 21, 47, 31, 43, 6, 71, 42, 45, 46, 21, 67, 22, 0, 100],
  [43, 68, 23, 21, 59, 58, 47, 46, 26, 21, 81, 60, 21, 100, 0],
];
