/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 30
 * K (Modelli) = 5
 *************************************************/

N = 30;
K = 5;

P = [57, 24, 66, 86, 43];
R = [5, 3, 6, 22, 33];
A = [5, 5, 4, 6, 3];
C = [5.74, 9.91, 2.74, 4.95, 8.59];

M = [
  [0, 3, 58, 61, 64, 21, 5, 30, 5, 27, 26, 24, 21, 45, 45, 4, 83, 16, 20, 3, 2, 3, 82, 40, 88, 36, 79, 11, 36, 29],
  [3, 0, 49, 46, 10, 93, 42, 9, 49, 16, 79, 6, 18, 21, 14, 62, 17, 54, 32, 16, 9, 43, 41, 31, 12, 80, 55, 44, 5, 27],
  [58, 49, 0, 40, 48, 88, 36, 89, 21, 58, 36, 69, 20, 26, 14, 3, 36, 93, 99, 63, 22, 2, 48, 5, 1, 8, 45, 15, 47, 56],
  [61, 46, 40, 0, 9, 29, 48, 92, 42, 30, 61, 47, 45, 60, 18, 98, 11, 26, 26, 78, 46, 34, 82, 14, 71, 74, 8, 1, 48, 98],
  [64, 10, 48, 9, 0, 43, 25, 18, 54, 49, 54, 10, 38, 12, 24, 76, 88, 73, 84, 96, 77, 99, 68, 15, 1, 39, 36, 46, 3, 95],
  [21, 93, 88, 29, 43, 0, 55, 85, 25, 17, 67, 36, 27, 22, 84, 11, 14, 60, 21, 33, 2, 44, 20, 28, 35, 10, 32, 2, 65, 42],
  [5, 42, 36, 48, 25, 55, 0, 3, 21, 27, 49, 44, 44, 77, 37, 39, 13, 94, 5, 85, 41, 20, 18, 54, 69, 18, 58, 37, 29, 49],
  [30, 9, 89, 92, 18, 85, 3, 0, 43, 79, 42, 83, 1, 93, 74, 11, 82, 47, 55, 88, 9, 81, 28, 27, 4, 76, 10, 49, 78, 39],
  [5, 49, 21, 42, 54, 25, 21, 43, 0, 94, 41, 76, 41, 17, 10, 63, 57, 42, 14, 30, 27, 3, 38, 12, 37, 77, 10, 63, 41, 13],
  [27, 16, 58, 30, 49, 17, 27, 79, 94, 0, 50, 14, 23, 10, 42, 31, 52, 35, 89, 5, 68, 27, 48, 5, 17, 15, 49, 45, 45, 8],
  [26, 79, 36, 61, 54, 67, 49, 42, 41, 50, 0, 5, 6, 28, 3, 47, 43, 46, 45, 78, 55, 38, 27, 36, 52, 10, 3, 79, 67, 2],
  [24, 6, 69, 47, 10, 36, 44, 83, 76, 14, 5, 0, 36, 7, 53, 42, 57, 3, 12, 27, 2, 6, 47, 89, 7, 33, 57, 8, 32, 49],
  [21, 18, 20, 45, 38, 27, 44, 1, 41, 23, 6, 36, 0, 43, 63, 35, 1, 38, 25, 38, 38, 38, 41, 38, 45, 93, 6, 23, 39, 53],
  [45, 21, 26, 60, 12, 22, 77, 93, 17, 10, 28, 7, 43, 0, 58, 33, 14, 12, 90, 30, 4, 30, 74, 64, 61, 26, 31, 39, 22, 38],
  [45, 14, 14, 18, 24, 84, 37, 74, 10, 42, 3, 53, 63, 58, 0, 10, 33, 57, 46, 39, 45, 13, 35, 62, 30, 4, 5, 16, 32, 7],
  [4, 62, 3, 98, 76, 11, 39, 11, 63, 31, 47, 42, 35, 33, 10, 0, 25, 55, 1, 47, 11, 12, 93, 21, 64, 16, 3, 77, 32, 22],
  [83, 17, 36, 11, 88, 14, 13, 82, 57, 52, 43, 57, 1, 14, 33, 25, 0, 31, 90, 15, 5, 100, 97, 14, 52, 36, 86, 13, 5, 59],
  [16, 54, 93, 26, 73, 60, 94, 47, 42, 35, 46, 3, 38, 12, 57, 55, 31, 0, 73, 91, 4, 9, 23, 37, 11, 46, 24, 29, 30, 75],
  [20, 32, 99, 26, 84, 21, 5, 55, 14, 89, 45, 12, 25, 90, 46, 1, 90, 73, 0, 48, 23, 26, 87, 9, 37, 43, 11, 12, 17, 49],
  [3, 16, 63, 78, 96, 33, 85, 88, 30, 5, 78, 27, 38, 30, 39, 47, 15, 91, 48, 0, 31, 33, 49, 26, 30, 38, 11, 6, 35, 38],
  [2, 9, 22, 46, 77, 2, 41, 9, 27, 68, 55, 2, 38, 4, 45, 11, 5, 4, 23, 31, 0, 74, 24, 22, 38, 10, 37, 54, 34, 50],
  [3, 43, 2, 34, 99, 44, 20, 81, 3, 27, 38, 6, 38, 30, 13, 12, 100, 9, 26, 33, 74, 0, 10, 66, 42, 38, 40, 41, 27, 74],
  [82, 41, 48, 82, 68, 20, 18, 28, 38, 48, 27, 47, 41, 74, 35, 93, 97, 23, 87, 49, 24, 10, 0, 64, 18, 2, 79, 29, 43, 9],
  [40, 31, 5, 14, 15, 28, 54, 27, 12, 5, 36, 89, 38, 64, 62, 21, 14, 37, 9, 26, 22, 66, 64, 0, 95, 44, 70, 18, 54, 5],
  [88, 12, 1, 71, 1, 35, 69, 4, 37, 17, 52, 7, 45, 61, 30, 64, 52, 11, 37, 30, 38, 42, 18, 95, 0, 40, 46, 45, 20, 36],
  [36, 80, 8, 74, 39, 10, 18, 76, 77, 15, 10, 33, 93, 26, 4, 16, 36, 46, 43, 38, 10, 38, 2, 44, 40, 0, 6, 34, 42, 50],
  [79, 55, 45, 8, 36, 32, 58, 10, 10, 49, 3, 57, 6, 31, 5, 3, 86, 24, 11, 11, 37, 40, 79, 70, 46, 6, 0, 14, 92, 57],
  [11, 44, 15, 1, 46, 2, 37, 49, 63, 45, 79, 8, 23, 39, 16, 77, 13, 29, 12, 6, 54, 41, 29, 18, 45, 34, 14, 0, 28, 6],
  [36, 5, 47, 48, 3, 65, 29, 78, 41, 45, 67, 32, 39, 22, 32, 32, 5, 30, 17, 35, 34, 27, 43, 54, 20, 42, 92, 28, 0, 79],
  [29, 27, 56, 98, 95, 42, 49, 39, 13, 8, 2, 49, 53, 38, 7, 22, 59, 75, 49, 38, 50, 74, 9, 5, 36, 50, 57, 6, 79, 0],
];
