/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 20
 * K (Modelli) = 3
 *************************************************/

N = 20;
K = 3;

P = [28, 10, 33];
R = [6, 25, 42];
A = [4, 3, 6];
C = [3.02, 3.73, 6.96];

M = [
  [0, 69, 73, 11, 37, 96, 54, 79, 92, 13, 44, 86, 7, 11, 76, 33, 38, 82, 58, 42],
  [69, 0, 2, 35, 9, 44, 30, 91, 19, 47, 60, 7, 33, 52, 15, 51, 44, 1, 14, 35],
  [73, 2, 0, 42, 4, 6, 15, 11, 11, 47, 91, 26, 26, 23, 75, 36, 6, 7, 6, 15],
  [11, 35, 42, 0, 43, 81, 63, 16, 91, 25, 46, 44, 13, 9, 12, 76, 2, 94, 47, 33],
  [37, 9, 4, 43, 0, 82, 48, 22, 18, 72, 42, 11, 39, 67, 35, 21, 40, 94, 73, 68],
  [96, 44, 6, 81, 82, 0, 10, 76, 96, 43, 36, 43, 85, 18, 59, 86, 28, 88, 32, 22],
  [54, 30, 15, 63, 48, 10, 0, 32, 26, 78, 82, 38, 46, 47, 7, 68, 56, 36, 12, 41],
  [79, 91, 11, 16, 22, 76, 32, 0, 3, 25, 29, 24, 7, 79, 15, 85, 39, 24, 65, 5],
  [92, 19, 11, 91, 18, 96, 26, 3, 0, 21, 47, 12, 2, 11, 77, 17, 4, 50, 31, 50],
  [13, 47, 47, 25, 72, 43, 78, 25, 21, 0, 4, 13, 75, 85, 23, 17, 12, 3, 92, 94],
  [44, 60, 91, 46, 42, 36, 82, 29, 47, 4, 0, 99, 14, 53, 13, 5, 35, 34, 13, 10],
  [86, 7, 26, 44, 11, 43, 38, 24, 12, 13, 99, 0, 5, 21, 26, 4, 99, 24, 58, 14],
  [7, 33, 26, 13, 39, 85, 46, 7, 2, 75, 14, 5, 0, 2, 3, 70, 40, 10, 15, 4],
  [11, 52, 23, 9, 67, 18, 47, 79, 11, 85, 53, 21, 2, 0, 100, 41, 5, 30, 47, 21],
  [76, 15, 75, 12, 35, 59, 7, 15, 77, 23, 13, 26, 3, 100, 0, 40, 15, 7, 18, 16],
  [33, 51, 36, 76, 21, 86, 68, 85, 17, 17, 5, 4, 70, 41, 40, 0, 57, 21, 3, 39],
  [38, 44, 6, 2, 40, 28, 56, 39, 4, 12, 35, 99, 40, 5, 15, 57, 0, 35, 40, 10],
  [82, 1, 7, 94, 94, 88, 36, 24, 50, 3, 34, 24, 10, 30, 7, 21, 35, 0, 94, 33],
  [58, 14, 6, 47, 73, 32, 12, 65, 31, 92, 13, 58, 15, 47, 18, 3, 40, 94, 0, 13],
  [42, 35, 15, 33, 68, 22, 41, 5, 50, 94, 10, 14, 4, 21, 16, 39, 10, 33, 13, 0],
];
