/*************************************************
 * Istanza Generata Random
 * N (Incroci) = 10
 * K (Modelli) = 6
 *************************************************/

N = 10;
K = 6;

P = [81, 27, 45, 76, 39, 43];
R = [25, 41, 42, 33, 19, 45];
A = [3, 6, 6, 6, 3, 4];
C = [5.72, 9.89, 3.23, 8.65, 1.39, 4.67];

M = [
  [0, 76, 65, 29, 36, 24, 21, 31, 71, 80],
  [76, 0, 16, 22, 9, 69, 26, 48, 3, 28],
  [65, 16, 0, 4, 29, 49, 6, 57, 44, 1],
  [29, 22, 4, 0, 71, 12, 31, 51, 38, 94],
  [36, 9, 29, 71, 0, 35, 67, 12, 62, 66],
  [24, 69, 49, 12, 35, 0, 45, 7, 4, 34],
  [21, 26, 6, 31, 67, 45, 0, 4, 46, 22],
  [31, 48, 57, 51, 12, 7, 4, 0, 98, 63],
  [71, 3, 44, 38, 62, 4, 46, 98, 0, 18],
  [80, 28, 1, 94, 66, 34, 22, 63, 18, 0],
];
